mip_id,activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,zstore
FAR,CMIP,GFDL,GFDL,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/FAR_historical_GFDL_mon_pr
FAR,CMIP,GFDL,GFDL,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/FAR_historical_GFDL_mon_tas
FAR,CMIP,GISS,GISS,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/FAR_historical_GISS_mon_pr
FAR,CMIP,GISS,GISS,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/FAR_historical_GISS_mon_tas
FAR,CMIP,UKTR,UKTR,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/FAR_historical_UKTR_mon_pr
FAR,CMIP,UKTR,UKTR,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/FAR_historical_UKTR_mon_tas
SAR,CMIP,CCCma,CCCma,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/SAR_historical_CCCma_mon_pr
SAR,CMIP,CCCma,CCCma,historical,r1i1p1f1,Amon,psl,gs://cmip6hack-multigen-zarr/SAR_historical_CCCma_mon_psl
SAR,CMIP,CCCma,CCCma,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/SAR_historical_CCCma_mon_tas
SAR,CMIP,CCSR-NIES,CCSR-NIES,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/SAR_historical_CCSR-NIES_mon_pr
SAR,CMIP,CCSR-NIES,CCSR-NIES,historical,r1i1p1f1,Amon,psl,gs://cmip6hack-multigen-zarr/SAR_historical_CCSR-NIES_mon_psl
SAR,CMIP,CCSR-NIES,CCSR-NIES,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/SAR_historical_CCSR-NIES_mon_tas
SAR,CMIP,CSIRO,CSIRO,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/SAR_historical_CSIRO_mon_pr
SAR,CMIP,CSIRO,CSIRO,historical,r1i1p1f1,Amon,psl,gs://cmip6hack-multigen-zarr/SAR_historical_CSIRO_mon_psl
SAR,CMIP,CSIRO,CSIRO,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/SAR_historical_CSIRO_mon_tas
SAR,CMIP,DKRZ,DKRZ,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/SAR_historical_DKRZ_mon_pr
SAR,CMIP,DKRZ,DKRZ,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/SAR_historical_DKRZ_mon_tas
SAR,CMIP,GFDL,GFDL,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/SAR_historical_GFDL_mon_pr
SAR,CMIP,GFDL,GFDL,historical,r1i1p1f1,Amon,psl,gs://cmip6hack-multigen-zarr/SAR_historical_GFDL_mon_psl
SAR,CMIP,GFDL,GFDL,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/SAR_historical_GFDL_mon_tas
SAR,CMIP,HCCPR,HCCPR,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/SAR_historical_HCCPR_mon_pr
SAR,CMIP,HCCPR,HCCPR,historical,r1i1p1f1,Amon,psl,gs://cmip6hack-multigen-zarr/SAR_historical_HCCPR_mon_psl
SAR,CMIP,HCCPR,HCCPR,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/SAR_historical_HCCPR_mon_tas
SAR,CMIP,MPIfM,MPIfM,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/SAR_historical_MPIfM_mon_pr
SAR,CMIP,MPIfM,MPIfM,historical,r1i1p1f1,Amon,psl,gs://cmip6hack-multigen-zarr/SAR_historical_MPIfM_mon_psl
SAR,CMIP,MPIfM,MPIfM,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/SAR_historical_MPIfM_mon_tas
SAR,CMIP,NCAR,NCAR,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/SAR_historical_NCAR_mon_pr
SAR,CMIP,NCAR,NCAR,historical,r1i1p1f1,Amon,psl,gs://cmip6hack-multigen-zarr/SAR_historical_NCAR_mon_psl
SAR,CMIP,NCAR,NCAR,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/SAR_historical_NCAR_mon_tas
TAR,CMIP,CCCma,CCCma,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/TAR_historical_CCCma_mon_pr
TAR,CMIP,CCCma,CCCma,historical,r1i1p1f1,Amon,psl,gs://cmip6hack-multigen-zarr/TAR_historical_CCCma_mon_psl
TAR,CMIP,CCCma,CCCma,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/TAR_historical_CCCma_mon_tas
TAR,CMIP,CCSRNIES,CCSRNIES,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/TAR_historical_CCSRNIES_mon_pr
TAR,CMIP,CCSRNIES,CCSRNIES,historical,r1i1p1f1,Amon,psl,gs://cmip6hack-multigen-zarr/TAR_historical_CCSRNIES_mon_psl
TAR,CMIP,CCSRNIES,CCSRNIES,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/TAR_historical_CCSRNIES_mon_tas
TAR,CMIP,CSIRO,CSIRO,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/TAR_historical_CSIRO_mon_pr
TAR,CMIP,CSIRO,CSIRO,historical,r1i1p1f1,Amon,psl,gs://cmip6hack-multigen-zarr/TAR_historical_CSIRO_mon_psl
TAR,CMIP,CSIRO,CSIRO,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/TAR_historical_CSIRO_mon_tas
TAR,CMIP,EH4OPYC,EH4OPYC,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/TAR_historical_EH4OPYC_mon_pr
TAR,CMIP,EH4OPYC,EH4OPYC,historical,r1i1p1f1,Amon,psl,gs://cmip6hack-multigen-zarr/TAR_historical_EH4OPYC_mon_psl
TAR,CMIP,EH4OPYC,EH4OPYC,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/TAR_historical_EH4OPYC_mon_tas
TAR,CMIP,GFDL,GFDL,historical,r1i1p1f1,Amon,pr,gs://cmip6hack-multigen-zarr/TAR_historical_GFDL_mon_pr
TAR,CMIP,GFDL,GFDL,historical,r1i1p1f1,Amon,psl,gs://cmip6hack-multigen-zarr/TAR_historical_GFDL_mon_psl
TAR,CMIP,GFDL,GFDL,historical,r1i1p1f1,Amon,tas,gs://cmip6hack-multigen-zarr/TAR_historical_GFDL_mon_tas
